Year,Mileage,Price,Model,Number of Doors,Color,Air Condition Type,Fuel Type,Horse Power,Location,Seller Location,Total Weight,Gear Shift
2002-06,278000 km,699000,FORD Focus 1.4 Ambiente,5,Sötétszürke (metál),Manuális klíma,Benzin,"55kW kW, 75LE",Érd,Érd - Parkváros,1480 KG,Manuális (5 fokozatú)
2002-06,278000 km,699000,FORD Focus 1.4 Ambiente,5,Sötétszürke (metál),Manuális klíma,Benzin,"55kW kW, 75LE",Érd,Érd - Parkváros,1480 KG,Manuális (5 fokozatú)
2002-06,278000 km,699000,FORD Focus 1.4 Ambiente,5,Sötétszürke (metál),Manuális klíma,Benzin,"55kW kW, 75LE",Érd,Érd - Parkváros,1480 KG,Manuális (5 fokozatú)
2002-06,278000 km,699000,FORD Focus 1.4 Ambiente,5,Sötétszürke (metál),Manuális klíma,Benzin,"55kW kW, 75LE",Érd,Érd - Parkváros,1480 KG,Manuális (5 fokozatú)
2002-06,278000 km,699000,FORD Focus 1.4 Ambiente,5,Sötétszürke (metál),Manuális klíma,Benzin,"55kW kW, 75LE",Érd,Érd - Parkváros,1480 KG,Manuális (5 fokozatú)
2002-06,278000 km,699000,FORD Focus 1.4 Ambiente,5,Sötétszürke (metál),Manuális klíma,Benzin,"55kW kW, 75LE",Érd,Érd - Parkváros,1480 KG,Manuális (5 fokozatú)
2002-06,278000 km,699000,FORD Focus 1.4 Ambiente,5,Sötétszürke (metál),Manuális klíma,Benzin,"55kW kW, 75LE",Érd,Érd - Parkváros,1480 KG,Manuális (5 fokozatú)
2002-06,278000 km,699000,FORD Focus 1.4 Ambiente,5,Sötétszürke (metál),Manuális klíma,Benzin,"55kW kW, 75LE",Érd,Érd - Parkváros,1480 KG,Manuális (5 fokozatú)
2002-06,278000 km,699000,FORD Focus 1.4 Ambiente,5,Sötétszürke (metál),Manuális klíma,Benzin,"55kW kW, 75LE",Érd,Érd - Parkváros,1480 KG,Manuális (5 fokozatú)
2002-06,278000 km,699000,FORD Focus 1.4 Ambiente,5,Sötétszürke (metál),Manuális klíma,Benzin,"55kW kW, 75LE",Érd,Érd - Parkváros,1480 KG,Manuális (5 fokozatú)
2002-06,278000 km,699000,FORD Focus 1.4 Ambiente,5,Sötétszürke (metál),Manuális klíma,Benzin,"55kW kW, 75LE",Érd,Érd - Parkváros,1480 KG,Manuális (5 fokozatú)
2002-06,278000 km,699000,FORD Focus 1.4 Ambiente,5,Sötétszürke (metál),Manuális klíma,Benzin,"55kW kW, 75LE",Érd,Érd - Parkváros,1480 KG,Manuális (5 fokozatú)
2002-06,278000 km,699000,FORD Focus 1.4 Ambiente,5,Sötétszürke (metál),Manuális klíma,Benzin,"55kW kW, 75LE",Érd,Érd - Parkváros,1480 KG,Manuális (5 fokozatú)
